Date,Time (mins)
2/19/2024,18
2/18/2024,17
2/17/2024,10
2/16/2024,19
2/15/2024,12
2/14/2024,21
2/13/2024,41
2/12/2024,17
2/11/2024,15
2/10/2024,18
2/9/2024,17
2/8/2024,26
2/7/2024,22
2/6/2024,15
2/5/2024,11
2/4/2024,26
2/3/2024,9
2/2/2024,24
2/1/2024,33
1/31/2024,10
1/30/2024,9
1/29/2024,16
1/28/2024,11
1/27/2024,25
1/26/2024,10
1/25/2024,12
1/24/2024,57
1/23/2024,45
1/22/2024,39
1/21/2024,17
1/20/2024,16
1/19/2024,12
1/18/2024,28
1/17/2024,10
1/16/2024,26
1/15/2024,18
1/14/2024,15
1/13/2024,51
1/12/2024,33
1/11/2024,10
1/10/2024,34
1/9/2024,59
1/8/2024,10
1/7/2024,26
1/6/2024,15
1/5/2024,22
1/4/2024,13
1/3/2024,51
1/2/2024,19
1/1/2024,21
12/31/2023,23
12/30/2023,16
12/29/2023,12
12/28/2023,12
12/27/2023,37
12/26/2023,83
12/24/2023,12
12/23/2023,17
12/22/2023,24
12/21/2023,24
12/20/2023,15
12/19/2023,19
12/18/2023,24
12/17/2023,20
12/16/2023,12
12/15/2023,12
12/14/2023,12
12/13/2023,29
12/12/2023,8
12/11/2023,15
12/10/2023,20
12/9/2023,30
12/8/2023,22
12/7/2023,30
12/6/2023,37
12/5/2023,22
12/4/2023,23
12/3/2023,23
12/2/2023,12
12/1/2023,21
11/30/2023,21
11/29/2023,23
11/28/2023,32
11/27/2023,14
11/26/2023,30
11/25/2023,19
11/24/2023,26
11/23/2023,25
11/22/2023,41
11/21/2023,23
11/20/2023,37
11/19/2023,24
11/18/2023,16
11/17/2023,21
11/16/2023,19
11/15/2023,28
11/14/2023,11
11/13/2023,29
11/12/2023,27
11/11/2023,23
11/10/2023,21
11/9/2023,11
11/8/2023,27
11/7/2023,26
11/6/2023,56
11/5/2023,18
11/4/2023,69
11/3/2023,84
11/2/2023,29
11/1/2023,52
10/31/2023,33
10/30/2023,40
10/29/2023,34
10/28/2023,31
10/27/2023,45
10/26/2023,34
10/25/2023,16
10/24/2023,39
10/23/2023,53
10/22/2023,38
10/21/2023,29
10/20/2023,44
10/19/2023,22
10/18/2023,53
10/17/2023,44
10/16/2023,15
10/15/2023,47
10/14/2023,23
10/13/2023,37
10/12/2023,35
10/11/2023,38
10/10/2023,59
10/9/2023,29
10/8/2023,12
10/7/2023,26
10/6/2023,35
10/5/2023,29
10/4/2023,27
10/3/2023,34
10/2/2023,21
10/1/2023,43
9/30/2023,13
9/29/2023,39
9/28/2023,54
9/27/2023,13
9/26/2023,54
9/25/2023,36
9/24/2023,43
9/23/2023,45
9/22/2023,50
9/21/2023,35
9/20/2023,41
9/19/2023,38
9/18/2023,38
9/17/2023,36
9/16/2023,86
9/15/2023,48
9/14/2023,40
9/13/2023,40
9/12/2023,22
9/11/2023,54
9/10/2023,41
9/9/2023,48
9/8/2023,32
9/7/2023,34
9/6/2023,51
9/5/2023,51
